# Field Name,Field Description,,,,,,,,,
# text,The question text,,,,,,,,,
# parent,The text of the question's parent; this may be blank if the question does not have a parent,,,,,,,,,
# question_category,"The parent category (If this question has a parent, the category needs to match the parent question's category)",,,,,,,,,
# show_if_parent,"Conditional display based on response to parent question (leave blank if no parent question)- y for if favorable, n for if unfavorable",,,,,,,,,
# explanation_required,"Does the question require additional (open-ended) explanation? f for when favorable, u for when unfavorable, a for always, n for never",,,,,,,,,
# weight,"Weight value for scoring- c for critical, h for high, m for medium, l for low, i for informational",,,,,,,,,
# allow_explanation,Allow explanation if not required? true or false,,,,,,,,,
# help_text,Text that will be displayed as help text for the question,,,,,,,,,
# question_response_group,Text representing the name of the answer response group (i.e. group of answer choices) for this question,,,,,,,,,
# documentation_required,"Does the question require supporting documentation upload? f for when favorable, u for when unfavorable, a for always, n for never",,,,,,,,,
# allow_documentation,Allow supporting documentation upload if not required? true or false,,,,,,,,,
text,parent,question_category,show_if_parent,explanation_required,weight,allow_explanation,help_text,question_response_group,documentation_required,allow_documentation
AC-02 a: Does your organization have a documented list of which account types are permitted and which are explicitly prohibited in your system?,,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement a):** Prohibited account types must include: shared, anonymous, guest, and temporary accounts. Permitted types must include at minimum: individual user and privileged/admin accounts.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
AC-02 b: Are specific people formally assigned as account managers responsible for approving and tracking user accounts?,,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement b):** Account managers must be named individuals (by name or role, e.g., ISSO, System Owner, or IT Manager) — not a general team or department.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
"AC-02 c: Do you have defined, documented criteria that must be met before someone is added to a user group or assigned a role?",,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement c):** [Assignment resolved] Prerequisites = role-based authorization in writing by the account manager, including job justification for the requested access level.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
AC-02 d-1: Does your account management process formally identify who is authorized to use the system?,,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement d-1):** Each account must be tied to a named individual with documented authorization. Generic or role-only accounts without an individual owner are not sufficient.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
AC-02 d-2: Does your account management process specify what groups and roles each user is assigned to?,,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement d-2):** Group and role assignments must be documented per account and reviewed at defined intervals.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
"AC-02 d-3: Does your account management process specify the access permissions and any additional attributes (e.g., job title, department) associated with each account?",,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement d-3):** [Assignment resolved] Attributes = job title, department, and access authorization level.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
AC-02 e: Is formal approval from an authorized person required before a new account is created?,,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement e):** [Assignment resolved] Approver = Information System Owner or ISSO. Approval must be documented (e.g., ticketing system) before account creation occurs.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
"AC-02 f: Does your organization follow a documented process for creating, modifying, disabling, and removing accounts — and does that process match your written policy?",,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement f):** [Assignment resolved] Process = the organization's account management policy and procedures, including use of a ticketing system for all account lifecycle changes.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
AC-02 g: Is account activity actively monitored to detect unauthorized use or anomalies?,,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement g):** Monitoring must cover login events, privilege use, failed attempts, and after-hours access. CloudTrail, SIEM, or equivalent logging must be in place.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
"AC-02 h-1: When an account is no longer needed, is it disabled or removed within 24 hours?",,AC — Access Control,y,n,m,TRUE,"**Control:** AC-02 — Account Management

**NIST 800-53 Rev 5 Control Language:**
AC-02: Manage system accounts, including establishing and activating, modifying, reviewing, disabling, and removing accounts. The organization: (a) defines and documents types of accounts allowed and prohibited; (b) assigns account managers; (c) requires prerequisites for group/role membership; (d) specifies authorized users, group/role membership, and access authorizations; (e) requires approval for account creation; (f) creates, enables, modifies, disables, and removes accounts per policy; (g) monitors account use; (h) notifies account managers when accounts are no longer needed, users are terminated/transferred, or need-to-know changes; (i) authorizes access based on valid authorization, intended use, and defined attributes; (j) reviews accounts for compliance; (k) changes shared/group authenticators when membership changes; (l) aligns account management with personnel termination and transfer processes.

**GovRAMP Parameter (Requirement h-1):** [GovRAMP Parameter] AC-2(h)(1) = within 24 hours of the account no longer being required.

**Suggested evidence:**
- Identity platform screenshots (IAM/IdP showing user list, role assignments, MFA settings)
- Access request and approval tickets (showing requester, approver, date, and outcome)
- Account provisioning and deprovisioning records
- Most recent access review results (signed off by account manager or ISSO)
- Account management policy",FedRAMP,n,TRUE
